GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Interview_Availability_Finder,app,Application,8,0,0,0,3,0,2,0,2,0
Interview_Availability_Finder,app.service.candidate,CandidateServiceImpl,6,374,7,25,0,79,7,28,0,19
Interview_Availability_Finder,app.controller.utils,ExceptionHandlerController,25,0,2,0,6,0,3,0,2,0
Interview_Availability_Finder,app.model.utils.model,DateTimeSlotModel.DateTimeSlotModelBuilder,45,0,0,0,1,0,7,0,7,0
Interview_Availability_Finder,app.model.utils.model,DateTimeSlotModel,31,19,0,0,6,2,6,5,6,5
Interview_Availability_Finder,app.model.interviewer.model,InterviewerAvailabilityModel,17,23,0,0,3,4,5,4,5,4
Interview_Availability_Finder,app.model.interviewer.model,InterviewerAvailabilityReturnModel.InterviewerAvailabilityReturnModelBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.interviewer.model,InterviewerAvailabilityReturnModel,21,16,0,0,4,1,6,2,6,2
Interview_Availability_Finder,app.model.interviewer.model,InterviewerModel,25,15,0,0,5,2,5,4,5,4
Interview_Availability_Finder,app.model.interviewer.model,InterviewerModel.InterviewerModelBuilder,36,0,0,0,1,0,6,0,6,0
Interview_Availability_Finder,app.model.interviewer.model,InterviewerAvailabilityModel.InterviewerAvailabilityModelBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.controller,InterviewerController,34,0,0,0,8,0,7,0,7,0
Interview_Availability_Finder,app.controller,CandidateController,41,0,0,0,12,0,8,0,8,0
Interview_Availability_Finder,app.controller,InterviewSlotsController,8,0,0,0,2,0,2,0,2,0
Interview_Availability_Finder,app.model.interviewslots.model,InterviewSlotsReturnModel.InterviewSlotsReturnModelBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.interviewslots.model,InterviewSlotsReturnModel,21,16,0,0,4,1,6,2,6,2
Interview_Availability_Finder,app.model.interviewslots.model,InterviewSlotsQueryModel,11,19,0,0,2,4,3,4,3,4
Interview_Availability_Finder,app.model.interviewslots.model,InterviewSlotsQueryModel.InterviewSlotsQueryModelBuilder,6,21,0,0,0,1,1,4,1,4
Interview_Availability_Finder,app.model.interviewer.entity,Interviewer.InterviewerBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.interviewer.entity,InterviewerAvailability.InterviewerAvailabilityBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.interviewer.entity,Interviewer,15,25,0,0,2,5,4,5,4,5
Interview_Availability_Finder,app.model.interviewer.entity,InterviewerAvailability,15,25,0,0,2,5,4,5,4,5
Interview_Availability_Finder,app.service.interviewer,InterviewerServiceImpl,6,383,7,27,0,80,7,30,0,20
Interview_Availability_Finder,app.model.candidate.model,CandidateModel.CandidateModelBuilder,36,0,0,0,1,0,6,0,6,0
Interview_Availability_Finder,app.model.candidate.model,CandidateAvailabilityModel,17,23,0,0,3,4,5,4,5,4
Interview_Availability_Finder,app.model.candidate.model,CandidateAvailabilityReturnModel.CandidateAvailabilityReturnModelBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.candidate.model,CandidateAvailabilityModel.CandidateAvailabilityModelBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.candidate.model,CandidateAvailabilityReturnModel,21,16,0,0,4,1,6,2,6,2
Interview_Availability_Finder,app.model.candidate.model,CandidateModel,25,15,0,0,5,2,5,4,5,4
Interview_Availability_Finder,app.service.interviewslots,InterviewSlotsServiceImpl,0,374,9,33,0,89,9,25,0,13
Interview_Availability_Finder,app.model.candidate.entity,CandidateAvailability,15,25,0,0,2,5,4,5,4,5
Interview_Availability_Finder,app.model.candidate.entity,Candidate.CandidateBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.candidate.entity,CandidateAvailability.CandidateAvailabilityBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.candidate.entity,Candidate,15,25,0,0,2,5,4,5,4,5
Interview_Availability_Finder,app.helper,AvailabilityFinderUtil,84,108,0,0,22,29,4,7,4,7
Interview_Availability_Finder,app.model.utils,DateTimeSlot,19,31,0,0,2,6,5,6,5,6
Interview_Availability_Finder,app.model.utils,OverlappingDateTimeSlot,15,25,0,0,2,5,4,5,4,5
Interview_Availability_Finder,app.model.utils,OverlappingDateTimeSlot.OverlappingDateTimeSlotBuilder,8,28,0,0,0,1,1,5,1,5
Interview_Availability_Finder,app.model.utils,DateTimeSlot.DateTimeSlotBuilder,10,35,0,0,0,1,1,6,1,6
